epoch,accuracy,ce_loss,gamma_embed_weight,kd_embed,kd_logits,loss,val_accuracy,val_ce_loss,val_gamma_embed_weight,val_kd_embed,val_kd_logits,val_loss
1,0.6446228623390198,0.0,0.02000025473535061,0.006676069926470518,0.0,0.00013352138921618462,0.7971754670143127,0.0,0.01999998465180397,0.0036865228321403265,0.0,7.373042171820998e-05
2,0.8626732230186462,0.0,0.04000050947070122,0.002995395800098777,0.0,0.00011981588613707572,0.8787059187889099,0.0,0.03999996930360794,0.0019614354241639376,0.0,7.845745858503506e-05
3,0.8914579153060913,0.0,0.06000049039721489,0.002094551222398877,0.0,0.000125672944705002,0.8844150900840759,0.0,0.06000007688999176,0.001637842389754951,0.0,9.827058238442987e-05
4,0.9045509099960327,0.0,0.08000101894140244,0.001744573935866356,0.0,0.00013956593465991318,0.8940304517745972,0.0,0.07999993860721588,0.0014614168321713805,0.0,0.00011691333202179521
5,0.912380039691925,0.0,0.0999990850687027,0.0015658732736483216,0.0,0.00015658714983146638,0.9002403616905212,0.0,0.10000026226043701,0.0014114389196038246,0.0,0.00014114397345110774
6,0.9179437756538391,0.0,0.12000098079442978,0.0014536785893142223,0.0,0.00017444134573452175,0.8949319124221802,0.0,0.12000015377998352,0.001414066762663424,0.0,0.00016968799172900617
7,0.9224413633346558,0.0,0.13999949395656586,0.0013600557576864958,0.0,0.00019040756160393357,0.9105569124221802,0.0,0.13999967277050018,0.001302145654335618,0.0,0.0001823004859033972
8,0.9286380410194397,0.0,0.16000203788280487,0.0012793753994628787,0.0,0.00020470026356633753,0.9077523946762085,0.0,0.15999987721443176,0.0012471157824620605,0.0,0.0001995384955080226
9,0.9302372336387634,0.0,0.17999842762947083,0.0012412810465320945,0.0,0.00022343065938912332,0.9021434187889099,0.0,0.18000024557113647,0.0012877807021141052,0.0,0.00023180057178251445
10,0.9361007213592529,0.0,0.1999981701374054,0.0011721729533746839,0.0,0.00023443465761374682,0.9148637652397156,0.0,0.20000052452087402,0.0011737392051145434,0.0,0.00023474775662180036
11,0.9366005063056946,0.0,0.2200009822845459,0.001142938039265573,0.0,0.00025144623941741884,0.9145632982254028,0.0,0.2200005054473877,0.001215079566463828,0.0,0.0002673175767995417
12,0.9386327266693115,0.0,0.24000196158885956,0.001117799780331552,0.0,0.0002682717458810657,0.9026442170143127,0.0,0.24000030755996704,0.001289023202843964,0.0,0.00030936548137106
13,0.9408315420150757,0.0,0.25999775528907776,0.0010840952163562179,0.0,0.0002818645734805614,0.9189703464508057,0.0,0.2599998712539673,0.0011311969719827175,0.0,0.0002941112907137722
14,0.9429304599761963,0.0,0.2799989879131317,0.0010531883453950286,0.0,0.0002948928449768573,0.9139623641967773,0.0,0.27999934554100037,0.0011660578893497586,0.0,0.0003264962288085371
15,0.9474280476570129,0.0,0.3000008761882782,0.0010264775482937694,0.0,0.0003079435264226049,0.9160656929016113,0.0,0.3000006079673767,0.0011686471989378333,0.0,0.00035059446236118674
16,0.9476612210273743,0.0,0.32000407576560974,0.0010103624081239104,0.0,0.00032331611146219075,0.9197716116905212,0.0,0.3199997544288635,0.0011106292949989438,0.0,0.00035540139651857316
17,0.9492937326431274,0.0,0.3399971127510071,0.0009786008158698678,0.0,0.00033272430300712585,0.9235777258872986,0.0,0.33999863266944885,0.0010909026023000479,0.0,0.0003709064912982285
18,0.9496268630027771,0.0,0.35999685525894165,0.0009759316453710198,0.0,0.00035133518395014107,0.9119591116905212,0.0,0.36000049114227295,0.0011769148986786604,0.0,0.0004236891691107303
19,0.9524919986724854,0.0,0.3800027072429657,0.0009589624824002385,0.0,0.0003644056268967688,0.9199719429016113,0.0,0.37999892234802246,0.0010786381317302585,0.0,0.00040988257387652993
20,0.9540911316871643,0.0,0.3999963402748108,0.0009389500482939184,0.0,0.00037558021722361445,0.9174679517745972,0.0,0.40000104904174805,0.0011163169983774424,0.0,0.00044652653741650283
21,0.9540911316871643,0.0,0.42000365257263184,0.0009293134789913893,0.0,0.0003903117903973907,0.9146634340286255,0.0,0.4199986457824707,0.001126489252783358,0.0,0.0004731254302896559
22,0.9559901356697083,0.0,0.4400019645690918,0.0009041065932251513,0.0,0.0003978068707510829,0.9243789911270142,0.0,0.4400010108947754,0.001093861530534923,0.0,0.00048129906645044684
23,0.9589219093322754,0.0,0.4599982798099518,0.0008858382352627814,0.0,0.0004074855532962829,0.9183694124221802,0.0,0.46000000834465027,0.0011023172410205007,0.0,0.0005070659099146724
24,0.9579557776451111,0.0,0.4800039231777191,0.0008866245043464005,0.0,0.00042557966662570834,0.9231770634651184,0.0,0.4800006151199341,0.0011005025589838624,0.0,0.000528241042047739
25,0.9604544043540955,0.0,0.5,0.000871786498464644,0.0,0.000435893249232322,0.9246794581413269,0.0,0.5,0.0010773914400488138,0.0,0.0005386957200244069
26,0.958888590335846,0.0,0.5199955105781555,0.0008707615779712796,0.0,0.0004527960263658315,0.9249799847602844,0.0,0.5199997425079346,0.0010691136121749878,0.0,0.0005559393321163952
27,0.9598214030265808,0.0,0.540002703666687,0.0008623588364571333,0.0,0.000465673889266327,0.9232772588729858,0.0,0.5399990081787109,0.0010857009328901768,0.0,0.0005862782127223909
28,0.960720956325531,0.0,0.5599979758262634,0.0008474288042634726,0.0,0.0004745603655464947,0.9277844429016113,0.0,0.5599986910820007,0.001045399229042232,0.0,0.0005854236660525203
29,0.9602212309837341,0.0,0.5799953937530518,0.0008435974596068263,0.0,0.0004892867873422801,0.9252804517745972,0.0,0.5800014734268188,0.0010705582099035382,0.0,0.000620923878159374
30,0.9627198576927185,0.0,0.6000017523765564,0.0008308584219776094,0.0,0.0004985153209418058,0.9241786599159241,0.0,0.6000012159347534,0.0010579414665699005,0.0,0.0006347652524709702
31,0.9641191363334656,0.0,0.6199964880943298,0.0008188977953977883,0.0,0.0005077163223177195,0.9255809187889099,0.0,0.6199991106987,0.0010454332223162055,0.0,0.0006481687305495143
32,0.9650852680206299,0.0,0.6400081515312195,0.0008125983877107501,0.0,0.0005200632149353623,0.9261819124221802,0.0,0.639999508857727,0.0010584988631308079,0.0,0.000677439384162426
33,0.9647854566574097,0.0,0.6599979996681213,0.0008125378517434001,0.0,0.0005362750380299985,0.9247796535491943,0.0,0.6600024700164795,0.0010625997092574835,0.0,0.0007013156428001821
34,0.9645189046859741,0.0,0.6799942255020142,0.0008060039253905416,0.0,0.0005480831605382264,0.9229767918586731,0.0,0.6799972653388977,0.0010638696840032935,0.0,0.0007234312943182886
35,0.9661513566970825,0.0,0.7000066041946411,0.0007825526408851147,0.0,0.0005477868253365159,0.9285857081413269,0.0,0.6999980211257935,0.0010464617516845465,0.0,0.0007325236801989377
36,0.966184675693512,0.0,0.7199937105178833,0.0007895328453741968,0.0,0.0005684634088538587,0.9263821840286255,0.0,0.7200009822845459,0.001036509987898171,0.0,0.0007462874054908752
37,0.9658182263374329,0.0,0.7399947047233582,0.0007820745231583714,0.0,0.0005787346162833273,0.9274839758872986,0.0,0.7400020956993103,0.0010412298142910004,0.0,0.0007705099997110665
38,0.9661513566970825,0.0,0.7600054144859314,0.0007784903282299638,0.0,0.0005916531663388014,0.918870210647583,0.0,0.7599978446960449,0.0011419478105381131,0.0,0.000867880997247994
39,0.9681503176689148,0.0,0.7800080180168152,0.0007649590843357146,0.0,0.000596668804064393,0.926682710647583,0.0,0.7799989581108093,0.0010174794588238,0.0,0.0007936338661238551
40,0.9690831303596497,0.0,0.7999926805496216,0.0007570201414637268,0.0,0.0006056157290004194,0.9200721383094788,0.0,0.8000020980834961,0.0010988875292241573,0.0,0.0008791099535301328
41,0.96875,0.0,0.8200060129165649,0.0007521292427554727,0.0,0.0006167464307509363,0.9319911599159241,0.0,0.8200035095214844,0.0010334675898775458,0.0,0.0008474434725940228
42,0.9702824950218201,0.0,0.8400073051452637,0.0007502535008825362,0.0,0.0006302126566879451,0.9262820482254028,0.0,0.8399972915649414,0.0010606787400320172,0.0,0.0008909704047255218
43,0.9707156419754028,0.0,0.8599901795387268,0.0007402778137475252,0.0,0.0006366388988681138,0.9288862347602844,0.0,0.8599998354911804,0.0010338877327740192,0.0,0.0008891429170034826
44,0.9698827266693115,0.0,0.8800039291381836,0.0007487597758881748,0.0,0.0006589090335182846,0.9292868375778198,0.0,0.8800020217895508,0.0010396996513009071,0.0,0.0009149357792921364
45,0.9708488583564758,0.0,0.9000070691108704,0.0007367113721556962,0.0,0.0006630393909290433,0.9278846383094788,0.0,0.8999972343444824,0.0010297177359461784,0.0,0.0009267462883144617
