participant_id,intent,expected_files_if_full_50,observed_files,missing_count,extra_count,delta_observed_minus_expected
Junxi,unknown,50,0,50,0,-50
Weisi,emergency,50,42,8,0,-8
Weisi,movement,50,20,30,0,-30
Weisi,unknown,50,0,50,0,-50
Yueyuan,unknown,50,0,50,0,-50
