epoch,accuracy,ce_loss,gamma_embed_weight,kd_embed,kd_logits,loss,val_accuracy,val_ce_loss,val_gamma_embed_weight,val_kd_embed,val_kd_logits,val_loss
1,0.849080502986908,0.36848685145378113,0.0,0.0,0.0,0.36848685145378113,0.7366786599159241,1.0252134799957275,0.0,0.0,0.0,1.0252134799957275
2,0.9122135043144226,0.21476255357265472,0.0,0.0,0.0,0.21476255357265472,0.7202523946762085,1.219236969947815,0.0,0.0,0.0,1.219236969947815
3,0.9224746823310852,0.1889960765838623,0.0,0.0,0.0,0.1889960765838623,0.765625,0.8221978545188904,0.0,0.0,0.0,0.8221978545188904
4,0.933335542678833,0.16524925827980042,0.0,0.0,0.0,0.16524925827980042,0.7452924847602844,0.9322828650474548,0.0,0.0,0.0,0.9322828650474548
5,0.9406650066375732,0.14782874286174774,0.0,0.0,0.0,0.14782874286174774,0.7269631624221802,1.426777958869934,0.0,0.0,0.0,1.426777958869934
6,0.9437633156776428,0.1407560557126999,0.0,0.0,0.0,0.1407560557126999,0.7047275900840759,1.4882478713989258,0.0,0.0,0.0,1.4882478713989258
7,0.9478278160095215,0.1262894570827484,0.0,0.0,0.0,0.1262894570827484,0.734375,1.4251099824905396,0.0,0.0,0.0,1.4251099824905396
8,0.9497934579849243,0.12289699912071228,0.0,0.0,0.0,0.12289699912071228,0.7473958134651184,1.1941776275634766,0.0,0.0,0.0,1.1941776275634766
9,0.9546241760253906,0.11339933425188065,0.0,0.0,0.0,0.11339933425188065,0.7315705418586731,1.360477328300476,0.0,0.0,0.0,1.360477328300476
10,0.9549240469932556,0.11050042510032654,0.0,0.0,0.0,0.11050042510032654,0.6989182829856873,1.9494959115982056,0.0,0.0,0.0,1.9494959115982056
11,0.9586220979690552,0.10263652354478836,0.0,0.0,0.0,0.10263652354478836,0.6671674847602844,2.544633388519287,0.0,0.0,0.0,2.544633388519287
12,0.9602545499801636,0.09911610931158066,0.0,0.0,0.0,0.09911610931158066,0.7200520634651184,1.6786153316497803,0.0,0.0,0.0,1.6786153316497803
13,0.9614205956459045,0.09682809561491013,0.0,0.0,0.0,0.09682809561491013,0.6908053159713745,2.178903102874756,0.0,0.0,0.0,2.178903102874756
