epoch,accuracy,aux_loss,ce_loss,cls_loss,gamma_embed_weight,kd_embed,kd_logits,loss,val_accuracy,val_aux_loss,val_ce_loss,val_cls_loss,val_gamma_embed_weight,val_kd_embed,val_kd_logits,val_loss
1,0.33238938450813293,0.0,0.0,0.0001515568292234093,0.02000025473535061,0.007577843964099884,0.0,0.0001515568292234093,0.33323317766189575,0.0,0.0,0.00013599864905700088,0.01999998465180397,0.006799932569265366,0.0,0.00013599864905700088
2,0.3358542025089264,0.0,0.0,0.00021548788936343044,0.04000050947070122,0.005387196317315102,0.0,0.00021548788936343044,0.33343347907066345,0.0,0.0,0.00020474172197282314,0.03999996930360794,0.005118540022522211,0.0,0.00020474172197282314
3,0.3405517041683197,0.0,0.0,0.00025344116147607565,0.06000049039721489,0.004224018193781376,0.0,0.00025344116147607565,0.33323317766189575,0.0,0.0,0.000240227542235516,0.06000007688999176,0.004003790207207203,0.0,0.000240227542235516
4,0.3391191363334656,0.0,0.0,0.00030218527535907924,0.08000101894140244,0.0037773163057863712,0.0,0.00030218527535907924,0.33323317766189575,0.0,0.0,0.0003422329609747976,0.07999993860721588,0.004277911502867937,0.0,0.0003422329609747976
5,0.34028518199920654,0.0,0.0,0.0003493669501040131,0.0999990850687027,0.003493671305477619,0.0,0.0003493669501040131,0.3333333432674408,0.0,0.0,0.0003332323394715786,0.10000026226043701,0.0033323245588690042,0.0,0.0003332323394715786
6,0.3399520218372345,0.0,0.0,0.00039619539165869355,0.12000098079442978,0.0033016258385032415,0.0,0.00039619539165869355,0.33323317766189575,0.0,0.0,0.00043661840027198195,0.12000015377998352,0.0036384863778948784,0.0,0.00043661840027198195
7,0.3405517041683197,0.0,0.0,0.00044523939141072333,0.13999949395656586,0.0031802821904420853,0.0,0.00044523939141072333,0.3333333432674408,0.0,0.0,0.0004365530621726066,0.13999967277050018,0.003118235617876053,0.0,0.0004365530621726066
8,0.340318500995636,0.0,0.0,0.0004966465057805181,0.16000203788280487,0.0031040424946695566,0.0,0.0004966465057805181,0.3331330120563507,0.0,0.0,0.0005271302652545273,0.15999987721443176,0.003294563153758645,0.0,0.0005271302652545273
9,0.3412846624851227,0.0,0.0,0.0005422707181423903,0.17999842762947083,0.0030126136261969805,0.0,0.0005422707181423903,0.33343347907066345,0.0,0.0,0.0005205856286920607,0.18000024557113647,0.002892142627388239,0.0,0.0005205856286920607
10,0.3411513864994049,0.0,0.0,0.0005881464458070695,0.1999981701374054,0.0029407343827188015,0.0,0.0005881464458070695,0.3333333432674408,0.0,0.0,0.0005901994300074875,0.20000052452087402,0.0029509984888136387,0.0,0.0005901994300074875
11,0.3421175479888916,0.0,0.0,0.0006342789274640381,0.2200009822845459,0.0028830862138420343,0.0,0.0006342789274640381,0.3337339758872986,0.0,0.0,0.0006619629566557705,0.2200005054473877,0.0030089227948337793,0.0,0.0006619629566557705
12,0.34141790866851807,0.0,0.0,0.0006807050667703152,0.24000196158885956,0.0028362737502902746,0.0,0.0006807050667703152,0.3335336446762085,0.0,0.0,0.0006476331036537886,0.24000030755996704,0.0026984727010130882,0.0,0.0006476331036537886
13,0.34208422899246216,0.0,0.0,0.0007270866772159934,0.25999775528907776,0.0027964890468865633,0.0,0.0007270866772159934,0.33363381028175354,0.0,0.0,0.0006929814699105918,0.2599998712539673,0.0026653141248971224,0.0,0.0006929814699105918
14,0.342250794172287,0.0,0.0,0.0007723793387413025,0.2799989879131317,0.002758496208116412,0.0,0.0007723793387413025,0.3333333432674408,0.0,0.0,0.0006967689259909093,0.27999934554100037,0.0024884603917598724,0.0,0.0006967689259909093
15,0.3405517041683197,0.0,0.0,0.0008188634528778493,0.3000008761882782,0.0027295437175780535,0.0,0.0008188634528778493,0.33343347907066345,0.0,0.0,0.0008301702328026295,0.3000006079673767,0.002767234807834029,0.0,0.0008301702328026295
16,0.3421841561794281,0.0,0.0,0.0008654209086671472,0.32000407576560974,0.002704440848901868,0.0,0.0008654209086671472,0.3337339758872986,0.0,0.0,0.0007827015942893922,0.3199997544288635,0.0024459424894303083,0.0,0.0007827015942893922
17,0.3412846624851227,0.0,0.0,0.0009086373029276729,0.3399971127510071,0.0026724603958427906,0.0,0.0009086373029276729,0.33383414149284363,0.0,0.0,0.0008488754974678159,0.33999863266944885,0.002496692119166255,0.0,0.0008488754974678159
18,0.34101811051368713,0.0,0.0,0.000951141701079905,0.35999685525894165,0.002642059465870261,0.0,0.000951141701079905,0.3333333432674408,0.0,0.0,0.0010667335009202361,0.36000049114227295,0.002963149454444647,0.0,0.0010667335009202361
19,0.342250794172287,0.0,0.0,0.0009996907319873571,0.3800027072429657,0.002630767645314336,0.0,0.0009996907319873571,0.33343347907066345,0.0,0.0,0.0010222492273896933,0.37999892234802246,0.002690129680559039,0.0,0.0010222492273896933
20,0.34051838517189026,0.0,0.0,0.001043821917846799,0.3999963402748108,0.0026095560751855373,0.0,0.001043821917846799,0.3333333432674408,0.0,0.0,0.0009889425709843636,0.40000104904174805,0.00247235712595284,0.0,0.0009889425709843636
21,0.34228411316871643,0.0,0.0,0.0010805398924276233,0.42000365257263184,0.0025727120228111744,0.0,0.0010805398924276233,0.3333333432674408,0.0,0.0,0.000967673840932548,0.4199986457824707,0.0023039861116558313,0.0,0.000967673840932548
22,0.3415178656578064,0.0,0.0,0.0011280043981969357,0.4400019645690918,0.002563648857176304,0.0,0.0011280043981969357,0.3333333432674408,0.0,0.0,0.0011547713074833155,0.4400010108947754,0.0026244805194437504,0.0,0.0011547713074833155
23,0.3417510688304901,0.0,0.0,0.0011704061180353165,0.4599982798099518,0.0025443644262850285,0.0,0.0011704061180353165,0.33323317766189575,0.0,0.0,0.0010870343539863825,0.46000000834465027,0.0023631195072084665,0.0,0.0010870343539863825
24,0.34148454666137695,0.0,0.0,0.0012200719211250544,0.4800039231777191,0.0025418177247047424,0.0,0.0012200719211250544,0.3333333432674408,0.0,0.0,0.0011827262351289392,0.4800006151199341,0.002464012010022998,0.0,0.0011827262351289392
25,0.3421175479888916,0.0,0.0,0.0012545835925266147,0.5,0.0025091671850532293,0.0,0.0012545835925266147,0.3335336446762085,0.0,0.0,0.0011217681458219886,0.5,0.002243536291643977,0.0,0.0011217681458219886
26,0.34275051951408386,0.0,0.0,0.0012997421436011791,0.5199955105781555,0.0024995063431560993,0.0,0.0012997421436011791,0.33383414149284363,0.0,0.0,0.0012595653533935547,0.5199997425079346,0.0024222414940595627,0.0,0.0012595653533935547
27,0.3415178656578064,0.0,0.0,0.0013527028495445848,0.540002703666687,0.0025050067342817783,0.0,0.0013527028495445848,0.33383414149284363,0.0,0.0,0.0011464320123195648,0.5399990081787109,0.002123021986335516,0.0,0.0011464320123195648
