epoch,accuracy,loss,val_accuracy,val_loss
1,0.7158515453338623,0.6333188414573669,0.8326321840286255,0.40799883008003235
2,0.8684701323509216,0.32890528440475464,0.8871194124221802,0.28116679191589355
3,0.9070829153060913,0.23651035130023956,0.9085536599159241,0.2328852415084839
4,0.9235740900039673,0.1898912638425827,0.903245210647583,0.25521770119667053
5,0.9394656419754028,0.1533367931842804,0.9132612347602844,0.23652110993862152
6,0.9489938616752625,0.12813472747802734,0.9078525900840759,0.24669590592384338
7,0.9565898180007935,0.10825206339359283,0.9246794581413269,0.19783566892147064
8,0.9631863236427307,0.09247364848852158,0.9251803159713745,0.21974647045135498
9,0.9697494506835938,0.07712659984827042,0.9275841116905212,0.22005322575569153
10,0.9728145003318787,0.06800491362810135,0.9302884340286255,0.20429839193820953
11,0.9769456386566162,0.05866548418998718,0.9324919581413269,0.19314758479595184
12,0.9797441363334656,0.05189511552453041,0.9254807829856873,0.2899951934814453
13,0.9811100959777832,0.04684380441904068,0.9340945482254028,0.23079989850521088
14,0.983941912651062,0.04340279847383499,0.9379006624221802,0.22952228784561157
15,0.9856076836585999,0.037817616015672684,0.9245793223381042,0.2910168766975403
16,0.9861407279968262,0.035082828253507614,0.9214743375778198,0.3256048262119293
17,0.9867737293243408,0.03467131033539772,0.9306890964508057,0.27351126074790955
18,0.9879397749900818,0.030521152541041374,0.9376001358032227,0.2791233956813812
19,0.9902385473251343,0.025837641209363937,0.9348958134651184,0.28569480776786804
20,0.989705502986908,0.02854529395699501,0.9339944124221802,0.2519339919090271
21,0.9913379549980164,0.024257978424429893,0.9321914911270142,0.2836456596851349
22,0.9922041296958923,0.022582365199923515,0.9406049847602844,0.27459555864334106
23,0.991970956325531,0.022058207541704178,0.9392027258872986,0.27185946702957153
24,0.9923707246780396,0.021978596225380898,0.9286859035491943,0.33269885182380676
25,0.9929037690162659,0.020490050315856934,0.9343950152397156,0.3173159062862396
26,0.9921375513076782,0.02168840356171131,0.9396033883094788,0.28665971755981445
27,0.9932036399841309,0.019477851688861847,0.9388020634651184,0.27417781949043274
28,0.9940698146820068,0.015470807440578938,0.9361979365348816,0.29031646251678467
29,0.9936700463294983,0.017704060301184654,0.9136618375778198,0.34077882766723633
30,0.9945029020309448,0.015476164408028126,0.9391025900840759,0.2914011478424072
31,0.9938033223152161,0.016588451340794563,0.9391025900840759,0.3073802888393402
32,0.9951359033584595,0.015216009691357613,0.9342948794364929,0.35953351855278015
