epoch,accuracy,loss,val_accuracy,val_loss
1,0.7177172303199768,0.6342405080795288,0.8381410241127014,0.4023584723472595
2,0.8663379549980164,0.3331349790096283,0.87890625,0.30193784832954407
3,0.9037179946899414,0.24472327530384064,0.907151460647583,0.23544546961784363
4,0.9245402216911316,0.1949165314435959,0.9135617017745972,0.22521275281906128
5,0.9377998113632202,0.15929684042930603,0.9142628312110901,0.21589061617851257
6,0.9487273693084717,0.13110119104385376,0.9246794581413269,0.20567654073238373
7,0.9554904103279114,0.11293227225542068,0.9214743375778198,0.219172865152359
8,0.9625533223152161,0.09386342763900757,0.9245793223381042,0.2295941561460495
9,0.9679170846939087,0.08076596260070801,0.9249799847602844,0.22682170569896698
10,0.971748411655426,0.0713067352771759,0.9334936141967773,0.20448540151119232
11,0.9767457246780396,0.060374222695827484,0.9159655570983887,0.2801428437232971
12,0.9800106883049011,0.051982633769512177,0.9265825152397156,0.2602674663066864
13,0.9800772666931152,0.05019237473607063,0.9321914911270142,0.22888469696044922
14,0.9818429946899414,0.04600444808602333,0.9314903616905212,0.23213492333889008
15,0.9860074520111084,0.03585609793663025,0.9250801205635071,0.27401697635650635
16,0.9852079153060913,0.03829890117049217,0.9333934187889099,0.25572165846824646
17,0.9868070483207703,0.03410806134343147,0.9363982081413269,0.26066145300865173
18,0.9878398180007935,0.032149843871593475,0.9392027258872986,0.24085548520088196
19,0.989405632019043,0.028212925419211388,0.9324919581413269,0.2593088746070862
20,0.9888392686843872,0.0288071371614933,0.9354968070983887,0.26797282695770264
21,0.9899386763572693,0.025635210797190666,0.9373998641967773,0.2628033459186554
22,0.9913379549980164,0.022284572944045067,0.9362980723381042,0.27543389797210693
23,0.9904051423072815,0.025110682472586632,0.9397035241127014,0.2717330753803253
24,0.9917710423469543,0.022275850176811218,0.936598539352417,0.2685489058494568
25,0.9921375513076782,0.02057059481739998,0.9328926205635071,0.28373050689697266
26,0.9925373196601868,0.021132351830601692,0.9391025900840759,0.2445266991853714
27,0.9926372766494751,0.020291568711400032,0.9350961446762085,0.2828657627105713
28,0.9940364956855774,0.01646728813648224,0.9271835088729858,0.34183481335639954
29,0.992703914642334,0.019129879772663116,0.9214743375778198,0.39510577917099
30,0.9937366843223572,0.01754947006702423,0.9272836446762085,0.36220476031303406
31,0.99357008934021,0.017050670459866524,0.9402043223381042,0.3028944432735443
32,0.9934368133544922,0.017876097932457924,0.9386017918586731,0.2972794771194458
33,0.995835542678833,0.01236857008188963,0.9284855723381042,0.34162527322769165
34,0.9953358173370361,0.012907272204756737,0.9373998641967773,0.34991347789764404
35,0.99510258436203,0.01499769277870655,0.9382011294364929,0.30317872762680054
36,0.9951359033584595,0.013921603560447693,0.9340945482254028,0.34309789538383484
37,0.9946361780166626,0.014600378461182117,0.9319911599159241,0.35905179381370544
38,0.9961687326431274,0.01096387580037117,0.9341946840286255,0.3597439229488373
39,0.994669497013092,0.014193492941558361,0.9369992017745972,0.32791808247566223
40,0.9961020946502686,0.010884138755500317,0.9413061141967773,0.307559996843338
41,0.9963019490242004,0.011624203994870186,0.9415063858032227,0.29794254899024963
42,0.996135413646698,0.01108443271368742,0.9434094429016113,0.30643945932388306
43,0.997001588344574,0.009650363586843014,0.9337940812110901,0.33991238474845886
44,0.9962020516395569,0.011361776851117611,0.9329928159713745,0.3594840466976166
45,0.9964352250099182,0.009990228340029716,0.9396033883094788,0.33312442898750305
46,0.9962020516395569,0.011227915063500404,0.9355969429016113,0.35460078716278076
47,0.997434675693512,0.00822171289473772,0.9342948794364929,0.34717631340026855
48,0.9964685440063477,0.01032518595457077,0.9404046535491943,0.33712515234947205
49,0.9965351819992065,0.009578353725373745,0.9396033883094788,0.359095960855484
50,0.9972015023231506,0.008028696291148663,0.9431089758872986,0.3067019283771515
