intent,support,precision,recall,f1
emergency,542,0.8465608465608465,0.5904059040590406,0.6956521739130435
movement,520,0.6609642301710731,0.8173076923076923,0.7308684436801376
unknown,400,0.7188208616780045,0.7925,0.7538644470868014
