epoch,accuracy,loss,val_accuracy,val_loss
1,0.6636127233505249,0.7308567762374878,0.7919671535491943,0.5092166066169739
2,0.8266591429710388,0.42231637239456177,0.8556690812110901,0.35225480794906616
3,0.8733009099960327,0.32263845205307007,0.8818109035491943,0.2986290156841278
4,0.8932569026947021,0.26478344202041626,0.8909254670143127,0.2719884216785431
5,0.9110807776451111,0.2241462916135788,0.9009414911270142,0.2451668232679367
6,0.9248067736625671,0.1951831728219986,0.91015625,0.2268621027469635
7,0.9308035969734192,0.17254938185214996,0.9036458134651184,0.2599881589412689
8,0.9397321343421936,0.14998728036880493,0.9160656929016113,0.22389858961105347
9,0.9470948576927185,0.13321781158447266,0.9175680875778198,0.22143414616584778
10,0.9543910026550293,0.11598841100931168,0.9197716116905212,0.2344084233045578
11,0.9585221409797668,0.1052667424082756,0.9185696840286255,0.23692786693572998
12,0.9639525413513184,0.09278009086847305,0.9163661599159241,0.2495621144771576
13,0.9672175049781799,0.08362708985805511,0.9005408883094788,0.31885942816734314
14,0.9698494076728821,0.07529126852750778,0.9214743375778198,0.254239559173584
15,0.9743803143501282,0.06336479634046555,0.9255809187889099,0.2624630033969879
16,0.975912868976593,0.0638139471411705,0.9264823794364929,0.261096715927124
17,0.9795109033584595,0.05320510268211365,0.9225761294364929,0.25515905022621155
18,0.9795109033584595,0.05156625434756279,0.917067289352417,0.30880799889564514
19,0.9815098643302917,0.04758599400520325,0.9263821840286255,0.26116958260536194
20,0.9846415519714355,0.04106401652097702,0.9171674847602844,0.354705810546875
21,0.9858075976371765,0.03768175095319748,0.9177684187889099,0.3580780625343323
22,0.9860074520111084,0.0364539660513401,0.9244791865348816,0.3264840543270111
23,0.9872068166732788,0.033397626131772995,0.9295873641967773,0.31501632928848267
24,0.9874067306518555,0.03284866362810135,0.9296875,0.2896864116191864
25,0.9891058206558228,0.02966281771659851,0.9289863705635071,0.30903926491737366
26,0.990138590335846,0.02602071687579155,0.9273838400840759,0.3316972255706787
27,0.9885061383247375,0.030916916206479073,0.9302884340286255,0.32222941517829895
28,0.9910048246383667,0.02538820169866085,0.9309895634651184,0.296442449092865
29,0.9912046790122986,0.023062031716108322,0.9289863705635071,0.3474038541316986
30,0.9904051423072815,0.025519978255033493,0.914963960647583,0.35948365926742554
31,0.9929370880126953,0.0198878925293684,0.9281851053237915,0.35455137491226196
32,0.9933369159698486,0.019003281369805336,0.9265825152397156,0.35644346475601196
33,0.9928704500198364,0.021093960851430893,0.9300881624221802,0.3309551775455475
34,0.9920375943183899,0.021864809095859528,0.9291867017745972,0.3175489604473114
35,0.9923374056816101,0.020787259563803673,0.9289863705635071,0.3423649072647095
36,0.9936367273330688,0.016960375010967255,0.9263821840286255,0.3780587315559387
37,0.9931703209877014,0.018914643675088882,0.9301882982254028,0.32642412185668945
38,0.9947694540023804,0.014704043976962566,0.9260817170143127,0.3707270920276642
