epoch,accuracy,ce_loss,gamma_embed_weight,kd_embed,kd_logits,loss,val_accuracy,val_ce_loss,val_gamma_embed_weight,val_kd_embed,val_kd_logits,val_loss
1,0.3736007511615753,0.0,0.02000025473535061,0.007089410442858934,0.0,0.00014178820129018277,0.4010416567325592,0.0,0.01999998465180397,0.0055650933645665646,0.0,0.00011130183702334762
2,0.37823161482810974,0.0,0.04000050947070122,0.0038137235678732395,0.0,0.00015254876052495092,0.4579326808452606,0.0,0.03999996930360794,0.0038925791159272194,0.0,0.00015570315008517355
3,0.410414457321167,0.0,0.06000049039721489,0.002682178746908903,0.0,0.000160930649144575,0.45322516560554504,0.0,0.06000007688999176,0.0028289160691201687,0.0,0.00016973503807093948
4,0.42407381534576416,0.0,0.08000101894140244,0.0022194250486791134,0.0,0.00017755405860953033,0.48237180709838867,0.0,0.07999993860721588,0.0029076989740133286,0.0,0.0002326158428331837
5,0.43596747517585754,0.0,0.0999990850687027,0.0019811922684311867,0.0,0.0001981191453523934,0.47365784645080566,0.0,0.10000026226043701,0.002280039945617318,0.0,0.0002280039625475183
6,0.4465618431568146,0.0,0.12000098079442978,0.0018195284064859152,0.0,0.0002183433243772015,0.4694511294364929,0.0,0.12000015377998352,0.002031238516792655,0.0,0.00024374858185183257
7,0.460720956325531,0.0,0.13999949395656586,0.0017011285526677966,0.0,0.00023815836175344884,0.46664664149284363,0.0,0.13999967277050018,0.0020655891858041286,0.0,0.00028918252792209387
8,0.4705490469932556,0.0,0.16000203788280487,0.0016247662715613842,0.0,0.0002599629224278033,0.5045071840286255,0.0,0.15999987721443176,0.0022872162517160177,0.0,0.00036595435813069344
9,0.47721216082572937,0.0,0.17999842762947083,0.0015470361104235053,0.0,0.00027846673037856817,0.5169270634651184,0.0,0.18000024557113647,0.0022291310597211123,0.0,0.00040124362567439675
10,0.4828091561794281,0.0,0.1999981701374054,0.0014966819435358047,0.0,0.0002993362140841782,0.5119190812110901,0.0,0.20000052452087402,0.0020625244360417128,0.0,0.000412504916312173
11,0.48307567834854126,0.0,0.2200009822845459,0.00145524344407022,0.0,0.0003201534564141184,0.5146234035491943,0.0,0.2200005054473877,0.0018218178302049637,0.0,0.0004008000250905752
12,0.48717349767684937,0.0,0.24000196158885956,0.0014113212237134576,0.0,0.00033871689811348915,0.5136218070983887,0.0,0.24000030755996704,0.0021413101349025965,0.0,0.0005139145068824291
13,0.4869069755077362,0.0,0.25999775528907776,0.0013858505990356207,0.0,0.00036032110801897943,0.5027043223381042,0.0,0.2599998712539673,0.001985077280551195,0.0,0.0005161199369467795
14,0.49170443415641785,0.0,0.2799989879131317,0.0013467689277604222,0.0,0.00037709507159888744,0.5281450152397156,0.0,0.27999934554100037,0.001941356691531837,0.0,0.0005435800994746387
15,0.4906383156776428,0.0,0.3000008761882782,0.0013264991575852036,0.0,0.0003979495959356427,0.5298477411270142,0.0,0.3000006079673767,0.0018650845158845186,0.0,0.000559525447897613
16,0.4959021806716919,0.0,0.32000407576560974,0.0013017627643421292,0.0,0.0004165643476881087,0.520432710647583,0.0,0.3199997544288635,0.001834011054597795,0.0,0.0005868832813575864
17,0.49177104234695435,0.0,0.3399971127510071,0.0012851686915382743,0.0,0.0004369567323010415,0.5427684187889099,0.0,0.33999863266944885,0.002088547684252262,0.0,0.0007101064547896385
18,0.4975346624851227,0.0,0.35999685525894165,0.0012608085526153445,0.0,0.0004538911744020879,0.5142227411270142,0.0,0.36000049114227295,0.0017918202793225646,0.0,0.0006450552027672529
19,0.4981343150138855,0.0,0.3800027072429657,0.0012391749769449234,0.0,0.0004708863270934671,0.5211338400840759,0.0,0.37999892234802246,0.0018152695847675204,0.0,0.0006898027495481074
20,0.5015324950218201,0.0,0.3999963402748108,0.0012270536972209811,0.0,0.0004908210830762982,0.5251402258872986,0.0,0.40000104904174805,0.0016393143450841308,0.0,0.0006557258893735707
21,0.5024320483207703,0.0,0.42000365257263184,0.0012250958243384957,0.0,0.0005145406466908753,0.5188301205635071,0.0,0.4199986457824707,0.0020709631498903036,0.0,0.0008698049350641668
22,0.5130263566970825,0.0,0.4400019645690918,0.0011995634995400906,0.0,0.0005278076860122383,0.5292468070983887,0.0,0.4400010108947754,0.001902724732644856,0.0,0.0008371990988962352
23,0.5046641826629639,0.0,0.4599982798099518,0.0011904829880222678,0.0,0.0005476225633174181,0.48707932233810425,0.0,0.46000000834465027,0.001903848140500486,0.0,0.0008757697069086134
24,0.5002665519714355,0.0,0.4800039231777191,0.0011532495263963938,0.0,0.0005535598611459136,0.5198317170143127,0.0,0.4800006151199341,0.0019660277757793665,0.0,0.0009436937980353832
25,0.5024653673171997,0.0,0.5,0.00116249592974782,0.0,0.00058124796487391,0.530348539352417,0.0,0.5,0.0020000224467366934,0.0,0.0010000112233683467
26,0.5042977333068848,0.0,0.5199955105781555,0.0011591084767132998,0.0,0.0006027358467690647,0.5422676205635071,0.0,0.5199997425079346,0.0019675628282129765,0.0,0.001023132586851716
27,0.5079624056816101,0.0,0.540002703666687,0.0011367633705958724,0.0,0.0006138520548120141,0.5313501358032227,0.0,0.5399990081787109,0.00187505385838449,0.0,0.0010125288972631097
