epoch,accuracy,ce_loss,gamma_embed_weight,kd_embed,kd_logits,loss,val_accuracy,val_ce_loss,val_gamma_embed_weight,val_kd_embed,val_kd_logits,val_loss
1,0.5711620450019836,0.0,0.02000025473535061,0.006487549282610416,0.0,0.00012975101708434522,0.7294671535491943,0.0,0.01999998465180397,0.003986006136983633,0.0,7.972013554535806e-05
2,0.7944429516792297,0.0,0.04000050947070122,0.0031303372234106064,0.0,0.00012521348253358155,0.7896634340286255,0.0,0.03999996930360794,0.002736175199970603,0.0,0.00010944699897663668
3,0.8365204930305481,0.0,0.06000049039721489,0.002369455760344863,0.0,0.00014216759882401675,0.8083934187889099,0.0,0.06000007688999176,0.0022505074739456177,0.0,0.00013503045192919672
4,0.8523120880126953,0.0,0.08000101894140244,0.0020242687314748764,0.0,0.0001619415997993201,0.7986778616905212,0.0,0.07999993860721588,0.0021975033450871706,0.0,0.00017580027633812279
5,0.8666377663612366,0.0,0.0999990850687027,0.0018345629796385765,0.0,0.00018345627177041024,0.8109976053237915,0.0,0.10000026226043701,0.002063618041574955,0.0,0.00020636185945477337
6,0.8771654963493347,0.0,0.12000098079442978,0.0016966776456683874,0.0,0.0002036013174802065,0.8316305875778198,0.0,0.12000015377998352,0.002036450197920203,0.0,0.00024437400861643255
7,0.8826959133148193,0.0,0.13999949395656586,0.0016146512934938073,0.0,0.00022605096455663443,0.8191105723381042,0.0,0.13999967277050018,0.0019522764487192035,0.0,0.0002733185247052461
8,0.8843950033187866,0.0,0.16000203788280487,0.001545195234939456,0.0,0.0002472310443408787,0.8522636294364929,0.0,0.15999987721443176,0.0017505914438515902,0.0,0.00028009447851218283
9,0.8913912773132324,0.0,0.17999842762947083,0.0014894254272803664,0.0,0.00026809651171788573,0.8265224099159241,0.0,0.18000024557113647,0.0018667527474462986,0.0,0.00033601545146666467
10,0.8967883586883545,0.0,0.1999981701374054,0.0014567647594958544,0.0,0.0002913528005592525,0.8146033883094788,0.0,0.20000052452087402,0.001965885516256094,0.0,0.0003931770916096866
11,0.9010527729988098,0.0,0.2200009822845459,0.0014041333924978971,0.0,0.0003089096280746162,0.8337339758872986,0.0,0.2200005054473877,0.0018337930087000132,0.0,0.0004034344747196883
12,0.9044509530067444,0.0,0.24000196158885956,0.0013690469786524773,0.0,0.00032857118640094995,0.8238180875778198,0.0,0.24000030755996704,0.002058374462649226,0.0,0.0004940095823258162
13,0.9040845036506653,0.0,0.25999775528907776,0.001343339798040688,0.0,0.0003492686664685607,0.8396434187889099,0.0,0.2599998712539673,0.001733074546791613,0.0,0.0004505994147621095
14,0.9101479053497314,0.0,0.2799989879131317,0.0013113676104694605,0.0,0.0003671828890219331,0.8487580418586731,0.0,0.27999934554100037,0.0016673526261001825,0.0,0.0004668588808272034
