source_id,source_role,population,evidence_type,n_total,action_pressure_per_100_windows,false_emergency_action_rate_per_window,false_movement_action_rate_per_window,unknown_false_action_rate,unauthorized_movement_action_count,missed_emergency_action_rate,consecutive_action_pairs_per_100_transitions,no_unknown_method,total_unknown_forced_action_rate,true_unknown_to_emergency_forced_rate,true_unknown_to_movement_forced_rate,additional_action_pressure_per_100_windows
akouo_reference_snr_m10db,offline_acoustic_reference_recognizer,"Speech Commands X_test fixed noisy condition, Rotor noise, -10 dB SNR",confusion_matrix_only,10008,67.56594724220624,0.07124300559552359,0.05675459632294165,0.16336930455635493,3203,0.14688249400479617,,label_only_bounds,1.0,,,32.434052757793765
asr_whisper_tiny_parser_snr_m10db,transcript_first_asr_parser,"Speech Commands X_test fixed noisy condition, snr_m10db=-10 dB",per_sample_labels,10008,12.250199840127898,0.006794564348521183,0.01288968824940048,0.02038369304556355,421,0.7790767386091128,1.5189367442790047,label_only_bounds,1.0,,,87.74980015987211
embedded_user_study_v4_candidate,embedded_candidate_reinfer_user_study,"User-study v4 participant recordings, desktop TFLite reinference of ESP32 candidate",per_sample_probabilities,1462,68.80984952120383,0.023939808481532147,0.1292749658002736,0.1625,634,0.37822878228782286,60.09582477754962,exact_probability_argmax_between_emergency_and_movement,1.0,0.8225,0.1775,31.19015047879617
