epoch,accuracy,aux_loss,ce_loss,cls_loss,gamma_embed_weight,kd_embed,kd_logits,loss,val_accuracy,val_aux_loss,val_ce_loss,val_cls_loss,val_gamma_embed_weight,val_kd_embed,val_kd_logits,val_loss
1,0.6674440503120422,0.0,0.8663185238838196,3.7235331535339355,0.0,0.011882948689162731,2.8572139739990234,3.7235331535339355,0.5365585088729858,0.0,1.810142159461975,6.323662757873535,0.0,0.012228022329509258,4.51352071762085,6.323662757873535
2,0.8112673163414001,0.0,0.48734617233276367,2.3305583000183105,0.0,0.012196405790746212,1.8432096242904663,2.3305583000183105,0.5785256624221802,0.0,2.0549590587615967,6.782837867736816,0.0,0.012273963540792465,4.727880954742432,6.782837867736816
3,0.8499799966812134,0.0,0.3981488049030304,1.9252214431762695,0.0,0.012226718477904797,1.527072787284851,1.9252214431762695,0.5963541865348816,0.0,2.227532148361206,7.199387073516846,0.0,0.01206887885928154,4.971850872039795,7.199387073516846
4,0.8710021376609802,0.0,0.34861305356025696,1.6999733448028564,0.0,0.01232102606445551,1.351359486579895,1.6999733448028564,0.6039663553237915,0.0,2.356358051300049,7.489956378936768,0.0,0.012221925891935825,5.133595943450928,7.489956378936768
5,0.8843616843223572,0.0,0.30908480286598206,1.5261019468307495,0.0,0.012221266515552998,1.2170186042785645,1.5261019468307495,0.6197916865348816,0.0,2.2245922088623047,7.109005451202393,0.0,0.01211795024573803,4.884417533874512,7.109005451202393
6,0.8962886333465576,0.0,0.28271833062171936,1.4057601690292358,0.0,0.012239501811563969,1.1230400800704956,1.4057601690292358,0.6288061141967773,0.0,2.3568849563598633,7.444303035736084,0.0,0.01212055142968893,5.087416648864746,7.444303035736084
7,0.9036180973052979,0.0,0.2633460462093353,1.3017323017120361,0.0,0.012123128399252892,1.0383864641189575,1.3017323017120361,0.6265023946762085,0.0,2.4461588859558105,7.592003345489502,0.0,0.012074691243469715,5.145840167999268,7.592003345489502
8,0.9116138219833374,0.0,0.24704983830451965,1.247637152671814,0.0,0.012164860963821411,1.0005863904953003,1.247637152671814,0.6262019276618958,0.0,2.493398666381836,7.746641635894775,0.0,0.012114452198147774,5.2532477378845215,7.746641635894775
9,0.9170109033584595,0.0,0.2325819432735443,1.1711894273757935,0.0,0.012126087211072445,0.9386076927185059,1.1711894273757935,0.6450320482254028,0.0,2.108219623565674,6.582725524902344,0.0,0.011981112882494926,4.4745049476623535,6.582725524902344
10,0.9212753176689148,0.0,0.21965757012367249,1.1115845441818237,0.0,0.012029125355184078,0.8919265270233154,1.1115845441818237,0.6476362347602844,0.0,2.1337852478027344,6.668522834777832,0.0,0.011833739466965199,4.534734725952148,6.668522834777832
11,0.9265725016593933,0.0,0.20876309275627136,1.0533491373062134,0.0,0.012015242129564285,0.8445866107940674,1.0533491373062134,0.6277043223381042,0.0,2.7332489490509033,8.431184768676758,0.0,0.011937420815229416,5.697937488555908,8.431184768676758
12,0.9303038120269775,0.0,0.19795744121074677,1.0210922956466675,0.0,0.011970446445047855,0.823133647441864,1.0210922956466675,0.6489382982254028,0.0,2.144774913787842,6.610992431640625,0.0,0.011821574531495571,4.466217517852783,6.610992431640625
13,0.9346015453338623,0.0,0.18915778398513794,0.9660484194755554,0.0,0.011972332373261452,0.776890218257904,0.9660484194755554,0.6408253312110901,0.0,2.382564067840576,7.360531330108643,0.0,0.011748668737709522,4.977966785430908,7.360531330108643
14,0.9344682693481445,0.0,0.1884768009185791,0.9556705355644226,0.0,0.011886426247656345,0.7671937346458435,0.9556705355644226,0.6597555875778198,0.0,1.9320788383483887,5.997914791107178,0.0,0.011707519181072712,4.06583309173584,5.997914791107178
15,0.9378997683525085,0.0,0.18113571405410767,0.9202466607093811,0.0,0.011810632422566414,0.7391113042831421,0.9202466607093811,0.6163862347602844,0.0,2.3514657020568848,7.263300895690918,0.0,0.01166476495563984,4.91183614730835,7.263300895690918
16,0.9392657279968262,0.0,0.17076356709003448,0.8859428763389587,0.02857162430882454,0.011833121068775654,0.7148401737213135,0.8859428763389587,0.6504406929016113,0.0,2.2968852519989014,7.053390026092529,0.028571467846632004,0.011631451547145844,4.75616979598999,7.053390026092529
17,0.9402984976768494,0.0,0.16909149289131165,0.8816753625869751,0.05714324861764908,0.011772274039685726,0.711911141872406,0.8816753625869751,0.7361778616905212,0.0,1.1937685012817383,3.822551965713501,0.05714293569326401,0.011453541927039623,2.628129482269287,3.822551965713501
18,0.9447295069694519,0.0,0.15885257720947266,0.8304786682128906,0.08571396768093109,0.011744187213480473,0.6706193089485168,0.8304786682128906,0.7102363705635071,0.0,1.566377878189087,4.833371639251709,0.08571433275938034,0.011502881534397602,3.266008138656616,4.833371639251709
19,0.945962131023407,0.0,0.15514443814754486,0.8080136179924011,0.11428649723529816,0.011729895137250423,0.6515285968780518,0.8080136179924011,0.62109375,0.0,2.4655814170837402,7.518383979797363,0.11428587138652802,0.01145709678530693,5.051496505737305,7.518383979797363
20,0.9481276869773865,0.0,0.14803525805473328,0.7905998229980469,0.1428583264350891,0.011727173812687397,0.6408889293670654,0.7905998229980469,0.7464944124221802,0.0,1.130452275276184,3.588085889816284,0.14285685122013092,0.011366344057023525,2.456010580062866,3.588085889816284
21,0.948527455329895,0.0,0.14640085399150848,0.7682124376296997,0.17142793536186218,0.011721127666532993,0.6198019981384277,0.7682124376296997,0.7080328464508057,0.0,1.5965018272399902,4.934347629547119,0.17142866551876068,0.01147687528282404,3.3358800411224365,4.934347629547119
22,0.9517923593521118,0.0,0.1347007304430008,0.7281631231307983,0.1999981701374054,0.011678805574774742,0.5911266207695007,0.7281631231307983,0.7106370329856873,0.0,1.629923701286316,5.100105285644531,0.20000052452087402,0.011324889026582241,3.4679179191589355,5.100105285644531
23,0.9540244936943054,0.0,0.137809619307518,0.7353706955909729,0.2285729944705963,0.011690448969602585,0.5948886275291443,0.7353706955909729,0.6584535241127014,0.0,2.1773219108581543,6.693426609039307,0.22857174277305603,0.011431380175054073,4.513491630554199,6.693426609039307
24,0.9519922733306885,0.0,0.13477882742881775,0.7222423553466797,0.2571413815021515,0.01167924515902996,0.584460437297821,0.7222423553466797,0.7418870329856873,0.0,1.1646554470062256,3.688962936401367,0.2571418583393097,0.011372108943760395,2.5213825702667236,3.688962936401367
25,0.9527252316474915,0.0,0.1348908394575119,0.7120574116706848,0.2857166528701782,0.011653516441583633,0.5738369226455688,0.7120574116706848,0.7510015964508057,0.0,1.113842248916626,3.558504104614258,0.28571370244026184,0.011298785917460918,2.4414334297180176,3.558504104614258
26,0.9559568166732788,0.0,0.12819086015224457,0.6887513995170593,0.31428730487823486,0.011603182181715965,0.5569140911102295,0.6887513995170593,0.6607571840286255,0.0,2.094895839691162,6.433220386505127,0.3142853379249573,0.011254074051976204,4.334794044494629,6.433220386505127
27,0.9580556750297546,0.0,0.1217445433139801,0.666264533996582,0.34285587072372437,0.011542100459337234,0.5405625700950623,0.666264533996582,0.7213541865348816,0.0,1.4538075923919678,4.497547149658203,0.34285733103752136,0.011259451508522034,3.0398776531219482,4.497547149658203
28,0.9576559066772461,0.0,0.11788507550954819,0.6492595076560974,0.3714293837547302,0.011551969684660435,0.5270839333534241,0.6492595076560974,0.6866987347602844,0.0,1.7823212146759033,5.481956481933594,0.37142929434776306,0.011347799561917782,3.695420503616333,5.481956481933594
29,0.959255039691925,0.0,0.11674021929502487,0.6477489471435547,0.3999963402748108,0.011507248505949974,0.526406466960907,0.6477489471435547,0.7338742017745972,0.0,1.5568355321884155,4.819948196411133,0.40000104904174805,0.011145902797579765,3.258655548095703,4.819948196411133
30,0.959987998008728,0.0,0.11627472937107086,0.6361494660377502,0.4285675883293152,0.011475813575088978,0.5149556994438171,0.6361494660377502,0.7560096383094788,0.0,1.103851556777954,3.553821563720703,0.4285721778869629,0.011086108162999153,2.445218801498413,3.553821563720703
31,0.96232008934021,0.0,0.11046326160430908,0.6316124796867371,0.4571459889411926,0.011519009247422218,0.5158835649490356,0.6316124796867371,0.6534455418586731,0.0,1.765488862991333,5.4968581199646,0.45714348554611206,0.011255960911512375,3.7262229919433594,5.4968581199646
32,0.9613206386566162,0.0,0.11295361071825027,0.6257815957069397,0.48571720719337463,0.011475205421447754,0.5072545409202576,0.6257815957069397,0.7269631624221802,0.0,1.4998664855957031,4.63908052444458,0.48571616411209106,0.01117586251348257,3.133784055709839,4.63908052444458
33,0.9606543183326721,0.0,0.11279605329036713,0.6216375231742859,0.514282763004303,0.011471434496343136,0.5029423236846924,0.6216375231742859,0.7579126358032227,0.0,1.0060967206954956,3.240892171859741,0.5142837166786194,0.011078459210693836,2.2290971279144287,3.240892171859741
34,0.9623867273330688,0.0,0.10916340351104736,0.6028379797935486,0.5428528785705566,0.011454894207417965,0.4874562621116638,0.6028379797935486,0.7878605723381042,0.0,0.8923142552375793,2.8977270126342773,0.5428575277328491,0.011092232540249825,1.9993906021118164,2.8977270126342773
35,0.9635860919952393,0.0,0.10412809252738953,0.5881572961807251,0.5714333057403564,0.011361092329025269,0.47753727436065674,0.5881572961807251,0.7397836446762085,0.0,1.249875783920288,3.9787025451660156,0.5714274048805237,0.01103796623647213,2.7225193977355957,3.9787025451660156
36,0.9640858173370361,0.0,0.10293281078338623,0.5873950719833374,0.6000017523765564,0.011370028369128704,0.47764068841934204,0.5873950719833374,0.7171474099159241,0.0,1.3509104251861572,4.249353885650635,0.6000012159347534,0.010899732820689678,2.8919050693511963,4.249353885650635
37,0.9619869589805603,0.0,0.10541784763336182,0.5860415101051331,0.6285746097564697,0.011290968395769596,0.4735264182090759,0.5860415101051331,0.727463960647583,0.0,1.486935019493103,4.572181701660156,0.6285706758499146,0.010831739753484726,3.078439474105835,4.572181701660156
38,0.9641857743263245,0.0,0.10508426278829575,0.584601879119873,0.6571449041366577,0.011208505369722843,0.47215208411216736,0.584601879119873,0.6960136294364929,0.0,1.7563985586166382,5.40470552444458,0.6571455001831055,0.010917105711996555,3.6411304473876953,5.40470552444458
39,0.9639192223548889,0.0,0.10279445350170135,0.5860214233398438,0.6857117414474487,0.01122250221669674,0.4755316972732544,0.5860214233398438,0.7486979365348816,0.0,1.2271006107330322,3.808929443359375,0.6857146620750427,0.010917936451733112,2.574341058731079,3.808929443359375
40,0.9663512706756592,0.0,0.09807953238487244,0.5524895787239075,0.7142899632453918,0.011163877323269844,0.4464361071586609,0.5524895787239075,0.7435897588729858,0.0,1.2637640237808228,3.962122917175293,0.7142833471298218,0.010829711332917213,2.6906237602233887,3.962122917175293
41,0.9646521806716919,0.0,0.09832799434661865,0.5635033249855042,0.7428587675094604,0.011146529577672482,0.4568953812122345,0.5635033249855042,0.6861979365348816,0.0,1.8089544773101807,5.574982643127441,0.7428585886955261,0.01085736509412527,3.757960081100464,5.574982643127441
42,0.9678505063056946,0.0,0.0947076827287674,0.5472941994667053,0.7714244723320007,0.011131970211863518,0.4439994692802429,0.5472941994667053,0.7584134340286255,0.0,1.2136818170547485,3.802128791809082,0.7714266180992126,0.010678710415959358,2.5802090167999268,3.802128791809082
43,0.9676505923271179,0.0,0.09650243818759918,0.5481864809989929,0.7999926805496216,0.011062436737120152,0.44283434748649597,0.5481864809989929,0.7303686141967773,0.0,1.4014636278152466,4.324069976806641,0.8000020980834961,0.010789209976792336,2.913975954055786,4.324069976806641
44,0.9668843150138855,0.0,0.09445454180240631,0.5439282059669495,0.8285682797431946,0.011009505949914455,0.44035181403160095,0.5439282059669495,0.7262620329856873,0.0,1.3965842723846436,4.391643524169922,0.828570544719696,0.010745106264948845,2.9861559867858887,4.391643524169922
