epoch,accuracy,ce_loss,gamma_embed_weight,kd_embed,kd_logits,loss,val_accuracy,val_ce_loss,val_gamma_embed_weight,val_kd_embed,val_kd_logits,val_loss
1,0.5395455956459045,0.0,0.02000025473535061,0.006728868465870619,0.0,0.00013457739260047674,0.5076121687889099,0.0,0.01999998465180397,0.004777140449732542,0.0,9.554276766721159e-05
2,0.703125,0.0,0.04000050947070122,0.0032682546880096197,0.0,0.0001307300990447402,0.746995210647583,0.0,0.03999996930360794,0.002863294444978237,0.0,0.00011453178012743592
3,0.803005039691925,0.0,0.06000049039721489,0.0024400404654443264,0.0,0.0001464024098822847,0.7770432829856873,0.0,0.06000007688999176,0.0025432792026549578,0.0,0.0001525967672932893
4,0.8381530046463013,0.0,0.08000101894140244,0.002110422356054187,0.0,0.00016883383796084672,0.8015825152397156,0.0,0.07999993860721588,0.0025497088208794594,0.0,0.00020397656771820039
5,0.8555437326431274,0.0,0.0999990850687027,0.0019135320326313376,0.0,0.00019135314505547285,0.8091946840286255,0.0,0.10000026226043701,0.002148410538211465,0.0,0.00021484117314685136
6,0.8633395433425903,0.0,0.12000098079442978,0.0018047800986096263,0.0,0.0002165736077586189,0.7818509340286255,0.0,0.12000015377998352,0.0024007658939808607,0.0,0.0002880919782910496
7,0.8668043613433838,0.0,0.13999949395656586,0.001710518728941679,0.0,0.00023947270528879017,0.7926682829856873,0.0,0.13999967277050018,0.0021781872492283583,0.0,0.00030494609382003546
8,0.8690698146820068,0.0,0.16000203788280487,0.0016403612680733204,0.0,0.00026245767367072403,0.8100961446762085,0.0,0.15999987721443176,0.0019668752793222666,0.0,0.000314700067974627
9,0.8782649040222168,0.0,0.17999842762947083,0.001585708581842482,0.0,0.00028542749350890517,0.8307291865348816,0.0,0.18000024557113647,0.0019026505760848522,0.0,0.00034247717121616006
10,0.8789312243461609,0.0,0.1999981701374054,0.0015415492234751582,0.0,0.0003083097981289029,0.8377403616905212,0.0,0.20000052452087402,0.001927827368490398,0.0,0.0003855654795188457
11,0.8826292753219604,0.0,0.2200009822845459,0.0014939913526177406,0.0,0.00032867793925106525,0.8040865659713745,0.0,0.2200005054473877,0.0021323023829609156,0.0,0.00046910627861507237
12,0.8827958703041077,0.0,0.24000196158885956,0.001456413185223937,0.0,0.00034953944850713015,0.8072916865348816,0.0,0.24000030755996704,0.00207897019572556,0.0,0.0004989527515135705
13,0.8878265023231506,0.0,0.25999775528907776,0.0014359893975779414,0.0,0.00037335706292651594,0.817307710647583,0.0,0.2599998712539673,0.0017925634747371078,0.0,0.0004660664708353579
14,0.8874267339706421,0.0,0.2799989879131317,0.0014011258026584983,0.0,0.00039231491973623633,0.8566706776618958,0.0,0.27999934554100037,0.0016557822236791253,0.0,0.0004636189551092684
15,0.8899253606796265,0.0,0.3000008761882782,0.0013846366200596094,0.0,0.00041539076482877135,0.8404446840286255,0.0,0.3000006079673767,0.0017236709827557206,0.0,0.0005171012599021196
16,0.8888925909996033,0.0,0.32000407576560974,0.0013649141183122993,0.0,0.000436772417742759,0.8153044581413269,0.0,0.3199997544288635,0.0019044809741899371,0.0,0.0006094338023103774
17,0.8904250860214233,0.0,0.3399971127510071,0.0013305555330589414,0.0,0.0004523883981164545,0.7956730723381042,0.0,0.33999863266944885,0.0022113919258117676,0.0,0.0007518729544244707
18,0.8881263136863708,0.0,0.35999685525894165,0.0013288849731907248,0.0,0.00047839799663051963,0.7708333134651184,0.0,0.36000049114227295,0.002300106454640627,0.0,0.0008280381443910301
19,0.8858608603477478,0.0,0.3800027072429657,0.0013063494116067886,0.0,0.000496413151267916,0.8262219429016113,0.0,0.37999892234802246,0.0018296658527106047,0.0,0.000695273804012686
20,0.8908915519714355,0.0,0.3999963402748108,0.001295103458687663,0.0,0.000518041371833533,0.8195112347602844,0.0,0.40000104904174805,0.001843127654865384,0.0,0.0007372515392489731
21,0.891058087348938,0.0,0.42000365257263184,0.001285150065086782,0.0,0.0005397630156949162,0.7913661599159241,0.0,0.4199986457824707,0.0019245994044467807,0.0,0.0008083321154117584
22,0.8932236433029175,0.0,0.4400019645690918,0.0012710767332464457,0.0,0.0005592733505181968,0.8301281929016113,0.0,0.4400010108947754,0.0017455968772992492,0.0,0.0007680626586079597
23,0.8945229053497314,0.0,0.4599982798099518,0.0012541189789772034,0.0,0.0005768946721218526,0.8047876358032227,0.0,0.46000000834465027,0.001994777237996459,0.0,0.0009175968007184565
24,0.8923574090003967,0.0,0.4800039231777191,0.0012378426035866141,0.0,0.000594164477661252,0.7945713400840759,0.0,0.4800006151199341,0.0019136318005621433,0.0,0.0009185438975691795
