epoch,accuracy,ce_loss,gamma_embed_weight,kd_embed,kd_logits,loss,val_accuracy,val_ce_loss,val_gamma_embed_weight,val_kd_embed,val_kd_logits,val_loss
1,0.8485474586486816,0.0,0.0,0.0,1.3419039249420166,1.3419039249420166,0.8075921535491943,0.0,0.0,0.0,1.857654333114624,1.857654333114624
2,0.898654043674469,0.0,0.0,0.0,0.935237467288971,0.935237467288971,0.7906650900840759,0.0,0.0,0.0,2.2031331062316895,2.2031331062316895
3,0.909248411655426,0.0,0.0,0.0,0.8417778611183167,0.8417778611183167,0.7948718070983887,0.0,0.0,0.0,2.360541343688965,2.360541343688965
4,0.9167444109916687,0.0,0.0,0.0,0.7713915705680847,0.7713915705680847,0.7580128312110901,0.0,0.0,0.0,2.972172975540161,2.972172975540161
5,0.9217084050178528,0.0,0.0,0.0,0.7288578152656555,0.7288578152656555,0.7670272588729858,0.0,0.0,0.0,2.796245813369751,2.796245813369751
6,0.9255397319793701,0.0,0.0,0.0,0.6811102628707886,0.6811102628707886,0.7876602411270142,0.0,0.0,0.0,2.1932709217071533,2.1932709217071533
7,0.9294043183326721,0.0,0.0,0.0,0.6640174984931946,0.6640174984931946,0.78515625,0.0,0.0,0.0,2.324558734893799,2.324558734893799
8,0.9286713600158691,0.0,0.0,0.0,0.6350296139717102,0.6350296139717102,0.7799479365348816,0.0,0.0,0.0,2.5731043815612793,2.5731043815612793
9,0.9324360489845276,0.0,0.0,0.0,0.612510085105896,0.612510085105896,0.7918669581413269,0.0,0.0,0.0,2.443295955657959,2.443295955657959
10,0.9347015023231506,0.0,0.0,0.0,0.5930994153022766,0.5930994153022766,0.8001803159713745,0.0,0.0,0.0,2.2946436405181885,2.2946436405181885
11,0.9354677796363831,0.0,0.0,0.0,0.5721909403800964,0.5721909403800964,0.8353365659713745,0.0,0.0,0.0,1.5660719871520996,1.5660719871520996
12,0.9394323229789734,0.0,0.0,0.0,0.5388738512992859,0.5388738512992859,0.7779446840286255,0.0,0.0,0.0,2.68656063079834,2.68656063079834
13,0.9391657710075378,0.0,0.0,0.0,0.5319123268127441,0.5319123268127441,0.8180088400840759,0.0,0.0,0.0,1.8920910358428955,1.8920910358428955
14,0.9415978193283081,0.0,0.0,0.0,0.5265955328941345,0.5265955328941345,0.795973539352417,0.0,0.0,0.0,2.253936767578125,2.253936767578125
15,0.9420309066772461,0.0,0.0,0.0,0.5109739899635315,0.5109739899635315,0.8191105723381042,0.0,0.0,0.0,1.7893823385238647,1.7893823385238647
16,0.9464285969734192,0.0,0.0,0.0,0.47955119609832764,0.47955119609832764,0.7576121687889099,0.0,0.0,0.0,2.8270153999328613,2.8270153999328613
17,0.9438965916633606,0.0,0.0,0.0,0.4957897663116455,0.4957897663116455,0.8030849099159241,0.0,0.0,0.0,2.1671557426452637,2.1671557426452637
18,0.9462286829948425,0.0,0.0,0.0,0.4637196362018585,0.4637196362018585,0.7824519276618958,0.0,0.0,0.0,2.3607945442199707,2.3607945442199707
19,0.9472947716712952,0.0,0.0,0.0,0.45893576741218567,0.45893576741218567,0.7483974099159241,0.0,0.0,0.0,3.2004430294036865,3.2004430294036865
20,0.9490604996681213,0.0,0.0,0.0,0.4536117613315582,0.4536117613315582,0.7880609035491943,0.0,0.0,0.0,2.5596184730529785,2.5596184730529785
21,0.9457955956459045,0.0,0.0,0.0,0.445969820022583,0.445969820022583,0.7789463400840759,0.0,0.0,0.0,2.435300350189209,2.435300350189209
