intent,support,precision,recall,f1
emergency,365,0.2860635696821516,0.32054794520547947,0.3023255813953488
movement,408,0.4620123203285421,0.5514705882352942,0.5027932960893855
unknown,439,0.560126582278481,0.4031890660592255,0.4688741721854305
