analysis_mode,language,feature,n_emergency,n_normal,mean_emergency,mean_normal,cohens_d,ci_low,ci_high
main,Chinese,alpha_ratio,400,200,0.18808555029406088,0.1864170208267464,0.011968614434933555,-0.1483030468225479,0.16919183731079102
main,Chinese,spectral_centroid,400,200,1029.7095604513231,941.8103947781716,0.27357123900642866,0.112110435962677,0.4506954550743103
main,Chinese,spectral_bandwidth,400,200,740.755352518553,703.2978107022145,0.2069104648355805,0.061462659388780594,0.33796554803848267
main,Chinese,low_band_ratio,400,200,0.6038411773788901,0.5184039424620878,0.4575753660367608,0.30530214309692383,0.6392270922660828
main,Chinese,mid_band_ratio,400,200,0.3263788225090343,0.4226533598933838,-0.5176217656360967,-0.6997213363647461,-0.3393489420413971
main,Chinese,high_band_ratio,400,200,0.06977874999066694,0.05894267173795706,0.22249799296086334,0.0908331423997879,0.35524794459342957
main,Chinese,pitch_mean,400,200,205.49478067946606,180.41134288646094,0.36900781413518136,0.1951582133769989,0.5231010317802429
main,Chinese,pitch_std,400,200,98.75001868888705,98.80999030894985,-0.0024782968166931958,-0.1624431312084198,0.136353000998497
main,Chinese,energy_env_slope,400,200,-0.7239374016755185,-0.5116935989106794,-0.11147528647589447,-0.21979111433029175,0.017910338938236237
main,Chinese,energy_env_std,400,200,2.0948268725536763,0.6246780740469694,0.7417872171531579,0.673471212387085,0.8234180808067322
main,Chinese,spectral_rolloff,400,200,1542.9099416922254,1400.5548655948069,0.2999587128164821,0.15186399221420288,0.4453071057796478
main,Chinese,zcr,400,200,0.13651869349610016,0.1235695182114513,0.3110981249302507,0.15656617283821106,0.46240630745887756
main,Chinese,harmonic_ratio,400,200,0.2677986106033931,0.24906007301378558,0.12046006437322021,-0.044780030846595764,0.2964670658111572
main,Chinese,pause_ratio,400,200,0.29217781143523697,0.2962168358435791,-0.05578490191821936,-0.18191932141780853,0.12230318039655685
main,Chinese,tempo_proxy,400,200,5.259777527029001,5.268138163937018,-0.006259150872131373,-0.14971385896205902,0.15119627118110657
main,Chinese,pitch_energy_corr,400,200,0.2476873840418338,0.13254189761492957,0.6381696547884269,0.46202683448791504,0.8208932280540466
sensitivity,Chinese,alpha_ratio,600,200,0.16683101814255058,0.1864170208267464,-0.1444418653307151,-0.2967206835746765,-0.008705588057637215
sensitivity,Chinese,spectral_centroid,600,200,1022.6340298078719,941.8103947781716,0.25840410400568103,0.11806468665599823,0.38925132155418396
sensitivity,Chinese,spectral_bandwidth,600,200,729.1989440936142,703.2978107022145,0.1483678911915691,-0.012419113889336586,0.30089613795280457
sensitivity,Chinese,low_band_ratio,600,200,0.6151515848495349,0.5184039424620878,0.49727010873565575,0.33652305603027344,0.6408539414405823
sensitivity,Chinese,mid_band_ratio,600,200,0.32230454996150487,0.4226533598933838,-0.518617746067758,-0.6831640005111694,-0.3802601993083954
sensitivity,Chinese,high_band_ratio,600,200,0.06254302394380233,0.05894267173795706,0.07763734903827522,-0.06928075850009918,0.19645828008651733
sensitivity,Chinese,pitch_mean,600,200,219.18791919455592,180.41134288646094,0.5297836884665197,0.39484453201293945,0.6767522692680359
sensitivity,Chinese,pitch_std,600,200,98.90402583238337,98.80999030894985,0.003875738763873305,-0.1323486566543579,0.14434297382831573
sensitivity,Chinese,energy_env_slope,600,200,-1.0520409352242697,-0.5116935989106794,-0.242077383707076,-0.33288130164146423,-0.1567370593547821
sensitivity,Chinese,energy_env_std,600,200,2.267043937879304,0.6246780740469694,0.7772421409686038,0.7121381163597107,0.8400991559028625
sensitivity,Chinese,spectral_rolloff,600,200,1520.347276623782,1400.5548655948069,0.2619445923129622,0.1267358362674713,0.41814732551574707
sensitivity,Chinese,zcr,600,200,0.13635924891871468,0.1235695182114513,0.3153144553740356,0.17757225036621094,0.4452165961265564
sensitivity,Chinese,harmonic_ratio,600,200,0.2915370803925066,0.24906007301378558,0.2505619453828633,0.07401587814092636,0.38780686259269714
sensitivity,Chinese,pause_ratio,600,200,0.2944685870385568,0.2962168358435791,-0.025267114016750303,-0.17944198846817017,0.13400840759277344
sensitivity,Chinese,tempo_proxy,600,200,5.382754252590866,5.268138163937018,0.08656653289284158,-0.07234311103820801,0.22427229583263397
sensitivity,Chinese,pitch_energy_corr,600,200,0.263870922456481,0.13254189761492957,0.7673507197637156,0.6104717254638672,0.9633338451385498
main,English,alpha_ratio,1000,1000,0.2716464953561114,0.08916025469901796,0.49912136983294103,0.4482083022594452,0.5806671977043152
main,English,spectral_centroid,1000,1000,694.1343986719171,473.9904460294819,0.7192068512924557,0.6426491737365723,0.7942256927490234
main,English,spectral_bandwidth,1000,1000,639.3569975352752,531.0164389168013,0.5852056004941251,0.49085959792137146,0.6638866662979126
main,English,low_band_ratio,1000,1000,0.42954835833335075,0.5550955433578353,-0.6033740624056184,-0.6989379525184631,-0.5137189030647278
main,English,mid_band_ratio,1000,1000,0.514442956159133,0.41667636943467357,0.49554877185944657,0.41906657814979553,0.5964226126670837
main,English,high_band_ratio,1000,1000,0.055957935146307404,0.028169065860249226,0.5055696681032376,0.4126039147377014,0.5911714434623718
main,English,pitch_mean,1000,1000,194.04684700610488,137.04834654204203,1.0686899224923474,0.992828369140625,1.1500223875045776
main,English,pitch_std,1000,1000,78.45446034028117,63.744978693373795,0.8008932634192821,0.722427487373352,0.8811807632446289
main,English,energy_env_slope,1000,1000,-0.5652905023168335,-0.06431270912314818,-0.30851962429789326,-0.3867769241333008,-0.24534720182418823
main,English,energy_env_std,1000,1000,1.846876065242337,0.11149875047476962,0.7710144277582368,0.7285888195037842,0.8197029232978821
