intent,support,precision,recall,f1
emergency,542,0.9323308270676691,0.6863468634686347,0.7906482465462275
movement,520,0.7388429752066116,0.8596153846153847,0.7946666666666666
unknown,400,0.7510917030567685,0.86,0.8018648018648019
