intent,keyword,support,accuracy,most_common_wrong_prediction
emergency,unavailable_in_sd_path,542,0.6863468634686347,movement
movement,unavailable_in_sd_path,520,0.8596153846153847,unknown
unknown,unavailable_in_sd_path,400,0.86,movement
