participant_id,intent,expected_files_if_full_50,observed_files,missing_count,extra_count,delta_observed_minus_expected
hongjun,emergency,50,20,30,0,-30
hongjun,unknown,50,47,3,0,-3
junxi,emergency,50,64,0,14,14
junxi,movement,50,104,0,54,54
junxi,unknown,50,111,0,61,61
weisi,emergency,50,37,13,0,-13
weisi,movement,50,0,50,0,-50
weisi,unknown,50,0,50,0,-50
yueyuan,emergency,50,44,6,0,-6
yueyuan,movement,50,54,0,4,4
yueyuan,unknown,50,81,0,31,31
