intent,keyword,support,accuracy,most_common_wrong_prediction
emergency,unavailable_in_sd_path,542,0.7066420664206642,movement
movement,unavailable_in_sd_path,520,0.8769230769230769,unknown
unknown,unavailable_in_sd_path,400,0.88,movement
