intent,support,precision,recall,f1
emergency,542,0.9503722084367245,0.7066420664206642,0.8105820105820106
movement,520,0.7562189054726368,0.8769230769230769,0.8121104185218165
unknown,400,0.7719298245614035,0.88,0.822429906542056
