epoch,accuracy,aux_loss,ce_loss,cls_loss,gamma_embed_weight,kd_embed,kd_logits,loss,val_accuracy,val_aux_loss,val_ce_loss,val_cls_loss,val_gamma_embed_weight,val_kd_embed,val_kd_logits,val_loss
1,0.6918976306915283,0.0,0.6757035851478577,3.250925064086914,0.0,0.011596270836889744,2.5752205848693848,3.250925064086914,0.5063101053237915,0.0,2.1432125568389893,7.272346496582031,0.0,0.011656137183308601,5.129134654998779,7.272346496582031
2,0.8200626373291016,0.0,0.4399656057357788,2.1845245361328125,0.0,0.011692486703395844,1.7445588111877441,2.1845245361328125,0.5609976053237915,0.0,3.0913240909576416,9.86548900604248,0.0,0.011337177827954292,6.774162292480469,9.86548900604248
3,0.8553438186645508,0.0,0.3663620054721832,1.8284244537353516,0.0,0.011739280074834824,1.4620630741119385,1.8284244537353516,0.5929487347602844,0.0,2.564112663269043,8.120765686035156,0.0,0.011396492831408978,5.556653022766113,8.120765686035156
4,0.8743336796760559,0.0,0.3328663408756256,1.6513185501098633,0.0,0.011775905266404152,1.31844961643219,1.6513185501098633,0.621995210647583,0.0,1.7031631469726562,5.685281276702881,0.0,0.011471315287053585,3.9821178913116455,5.685281276702881
5,0.8872601389884949,0.0,0.30277982354164124,1.5004500150680542,0.0,0.011725112795829773,1.1976696252822876,1.5004500150680542,0.5906450152397156,0.0,2.5576820373535156,8.013509750366211,0.0,0.01126957032829523,5.45582914352417,8.013509750366211
6,0.8961220979690552,0.0,0.2775708734989166,1.3973791599273682,0.0,0.011771641671657562,1.1198081970214844,1.3973791599273682,0.6510416865348816,0.0,1.510625958442688,4.957147121429443,0.0,0.01153254508972168,3.446521520614624,4.957147121429443
7,0.9028518199920654,0.0,0.2617456614971161,1.3188421726226807,0.0,0.011756664142012596,1.0570950508117676,1.3188421726226807,0.6600561141967773,0.0,1.6662636995315552,5.382064342498779,0.0,0.011279336176812649,3.715796947479248,5.382064342498779
8,0.9079157710075378,0.0,0.2527029812335968,1.25860595703125,0.0,0.011743142269551754,1.0059014558792114,1.25860595703125,0.6575520634651184,0.0,1.9039944410324097,6.047542095184326,0.0,0.011362857185304165,4.143548965454102,6.047542095184326
9,0.9127132296562195,0.0,0.23869647085666656,1.1975139379501343,0.0,0.01175594236701727,0.9588178992271423,1.1975139379501343,0.6485376358032227,0.0,2.1050379276275635,6.575484275817871,0.0,0.011245469562709332,4.470444679260254,6.575484275817871
10,0.9166111350059509,0.0,0.22668421268463135,1.1384209394454956,0.0,0.011733358725905418,0.911736786365509,1.1384209394454956,0.6467347741127014,0.0,2.1885740756988525,6.786096096038818,0.0,0.01120509672909975,4.597517967224121,6.786096096038818
11,0.9219083189964294,0.0,0.21434320509433746,1.097538948059082,0.0,0.011697136797010899,0.8831955790519714,1.097538948059082,0.6972155570983887,0.0,1.4038246870040894,4.527937889099121,0.0,0.011252962052822113,3.124113082885742,4.527937889099121
12,0.9243070483207703,0.0,0.20600943267345428,1.048271656036377,0.0,0.011692267842590809,0.8422624468803406,1.048271656036377,0.6765825152397156,0.0,1.7260195016860962,5.446905136108398,0.0,0.011180915869772434,3.72088360786438,5.446905136108398
13,0.9291045069694519,0.0,0.19481822848320007,0.9959976673126221,0.0,0.01167251542210579,0.8011792302131653,0.9959976673126221,0.6764823794364929,0.0,1.610870122909546,5.154324531555176,0.0,0.011243950575590134,3.5434539318084717,5.154324531555176
14,0.9302704930305481,0.0,0.19191047549247742,0.9859328269958496,0.0,0.011653149500489235,0.7940222024917603,0.9859328269958496,0.7272636294364929,0.0,1.214500069618225,3.9186835289001465,0.0,0.011069794185459614,2.7041828632354736,3.9186835289001465
15,0.9325693249702454,0.0,0.1866992712020874,0.9514723420143127,0.0,0.01167221087962389,0.7647721767425537,0.9514723420143127,0.6261017918586731,0.0,2.2627689838409424,7.0250244140625,0.0,0.01126416027545929,4.762256622314453,7.0250244140625
16,0.9358342289924622,0.0,0.1808079034090042,0.9294144511222839,0.0,0.011678646318614483,0.7486070394515991,0.9294144511222839,0.6473357081413269,0.0,2.1834189891815186,6.742571830749512,0.0,0.011180463247001171,4.559154987335205,6.742571830749512
