epoch,accuracy,loss,val_accuracy,val_loss
1,0.6109074950218201,1.223205327987671,0.7936999797821045,0.5188751816749573
2,0.8310900926589966,0.4321063160896301,0.84170001745224,0.39290469884872437
3,0.8846948146820068,0.2984483242034912,0.8834999799728394,0.3027682304382324
4,0.9094150066375732,0.23520688712596893,0.8948000073432922,0.26653221249580383
5,0.9250066876411438,0.19457563757896423,0.913100004196167,0.2184188961982727
6,0.9374666810035706,0.16129624843597412,0.9024999737739563,0.2604094445705414
7,0.9449293613433838,0.13835406303405762,0.9247000217437744,0.1871148943901062
8,0.9528584480285645,0.12134608626365662,0.9235000014305115,0.21954958140850067
9,0.959255039691925,0.10487175732851028,0.9289000034332275,0.19970448315143585
10,0.963419497013092,0.09225482493638992,0.9063000082969666,0.29556936025619507
11,0.9689165949821472,0.07995258271694183,0.9212999939918518,0.2702203094959259
12,0.9728145003318787,0.07063477486371994,0.9272000193595886,0.22637058794498444
13,0.9746801853179932,0.06381328403949738,0.9296000003814697,0.23425854742527008
14,0.9765458703041077,0.06123792752623558,0.9373999834060669,0.20208428800106049
15,0.979344367980957,0.05290018022060394,0.9307000041007996,0.26656246185302734
16,0.981809675693512,0.047290317714214325,0.9373000264167786,0.22041787207126617
17,0.9821761846542358,0.04528041556477547,0.9333999752998352,0.2448301762342453
18,0.9849080443382263,0.041106514632701874,0.9399999976158142,0.2218172550201416
19,0.9857409596443176,0.03822769969701767,0.9366999864578247,0.2160458266735077
20,0.9867404103279114,0.03638049587607384,0.9419000148773193,0.23362946510314941
21,0.9871734976768494,0.03316798061132431,0.9347000122070312,0.2649434804916382
22,0.9876732230186462,0.032605838030576706,0.9398999810218811,0.2507670521736145
23,0.9883728623390198,0.03252294659614563,0.9391000270843506,0.21863876283168793
24,0.9898387789726257,0.027597663924098015,0.9363999962806702,0.2559387981891632
25,0.9910714030265808,0.025545816868543625,0.9308000206947327,0.2900441586971283
26,0.9907382726669312,0.025357741862535477,0.935699999332428,0.2894792854785919
