epoch,accuracy,loss,val_accuracy,val_loss
1,0.5274853706359863,2.755837917327881,0.7534054517745972,0.6479054093360901
2,0.7785847783088684,0.6489117741584778,0.8498597741127014,0.388849675655365
3,0.8580423593521118,0.3956397473812103,0.8636819124221802,0.3289581835269928
4,0.8886260390281677,0.2957380414009094,0.8669871687889099,0.3268214166164398
5,0.9092817306518555,0.23889799416065216,0.8996394276618958,0.25127312541007996
6,0.924140453338623,0.20086346566677094,0.9049479365348816,0.24267739057540894
7,0.9358342289924622,0.16675400733947754,0.8899238705635071,0.3006818890571594
8,0.9424306750297546,0.14546535909175873,0.9156650900840759,0.22135138511657715
9,0.9512926340103149,0.12281495332717896,0.9200721383094788,0.21462242305278778
10,0.9596881866455078,0.10840331763029099,0.922776460647583,0.213088721036911
11,0.9641191363334656,0.09167707711458206,0.9212740659713745,0.23331768810749054
12,0.968316912651062,0.08128084987401962,0.9152644276618958,0.27512326836586
13,0.9699826836585999,0.07519315928220749,0.9201722741127014,0.2579991817474365
14,0.9747801423072815,0.06533830612897873,0.9167668223381042,0.28707796335220337
15,0.9776452779769897,0.057611897587776184,0.9298878312110901,0.2383393496274948
16,0.9796108603477478,0.05114838480949402,0.9251803159713745,0.29038017988204956
17,0.981676459312439,0.0493851900100708,0.9298878312110901,0.2543346583843231
18,0.9837086796760559,0.04324266314506531,0.9224759340286255,0.28375205397605896
19,0.9832755923271179,0.043557070195674896,0.9352964758872986,0.2531970143318176
20,0.9846082329750061,0.039563171565532684,0.9334936141967773,0.24554230272769928
21,0.9864738583564758,0.03384379670023918,0.9295873641967773,0.2964705526828766
22,0.9875400066375732,0.033131226897239685,0.9311898946762085,0.27973926067352295
23,0.9877065420150757,0.031154004856944084,0.9340945482254028,0.27899372577667236
24,0.9896388649940491,0.027904782444238663,0.9345953464508057,0.2739276587963104
25,0.988106369972229,0.03028675727546215,0.9322916865348816,0.3076261878013611
26,0.9912046790122986,0.02510886639356613,0.9281851053237915,0.2914321720600128
27,0.9911713600158691,0.024037428200244904,0.9362980723381042,0.30153560638427734
28,0.9915711879730225,0.02295791544020176,0.9238781929016113,0.3870542049407959
29,0.9920042753219604,0.02253660187125206,0.9356971383094788,0.2997000813484192
30,0.9929370880126953,0.02089611254632473,0.9325921535491943,0.31380510330200195
31,0.9914379119873047,0.0226149819791317,0.9351963400840759,0.27815380692481995
32,0.9938033223152161,0.016582025215029716,0.9357972741127014,0.34131696820259094
33,0.9937700033187866,0.017484836280345917,0.930588960647583,0.3498010039329529
34,0.9930370450019836,0.01936618983745575,0.9334936141967773,0.3036556839942932
35,0.9935367703437805,0.01848243921995163,0.9216746687889099,0.3644581139087677
36,0.9950026869773865,0.014934520237147808,0.9286859035491943,0.35714489221572876
37,0.9952025413513184,0.013706867583096027,0.926682710647583,0.3769431412220001
