epoch,accuracy,loss,val_accuracy,val_loss
1,0.5941497683525085,1.248508334159851,0.7850561141967773,0.5277710556983948
2,0.8114672303199768,0.49997976422309875,0.8366386294364929,0.4166506230831146
3,0.8673040866851807,0.3501597046852112,0.8810096383094788,0.3022492229938507
4,0.8931570053100586,0.27508026361465454,0.8927283883094788,0.2813795804977417
5,0.9129130840301514,0.22876939177513123,0.8974359035491943,0.26397234201431274
6,0.9273720979690552,0.1905355453491211,0.8990384340286255,0.25899538397789
7,0.9377998113632202,0.1595863699913025,0.9033453464508057,0.273064523935318
8,0.9454957246780396,0.14077690243721008,0.9233773946762085,0.21949107944965363
9,0.9522587656974792,0.12104152888059616,0.9112580418586731,0.2494429498910904
10,0.9578558206558228,0.10675067454576492,0.9233773946762085,0.23473580181598663
11,0.9619869589805603,0.09379486739635468,0.9217748641967773,0.2606894075870514
12,0.967583954334259,0.08051146566867828,0.9271835088729858,0.2424519807100296
13,0.9711820483207703,0.07187654078006744,0.9157652258872986,0.28778573870658875
14,0.974513590335846,0.06362631916999817,0.9313902258872986,0.2625458538532257
15,0.975612998008728,0.06334234029054642,0.9303886294364929,0.22385044395923615
16,0.9794443249702454,0.05509869009256363,0.9284855723381042,0.23378299176692963
17,0.9812099933624268,0.04721002280712128,0.9341946840286255,0.24487578868865967
18,0.9820095896720886,0.046686653047800064,0.9283854365348816,0.2843255400657654
19,0.9835087656974792,0.0413024015724659,0.9243789911270142,0.3169735372066498
20,0.984375,0.04005613923072815,0.9275841116905212,0.3064817786216736
21,0.9864405393600464,0.036174338310956955,0.9274839758872986,0.28448766469955444
22,0.9876399040222168,0.03213026747107506,0.9378004670143127,0.2663778066635132
23,0.9875732660293579,0.03434718772768974,0.9259815812110901,0.2674753665924072
24,0.9892390966415405,0.029758194461464882,0.9289863705635071,0.2958422899246216
25,0.9890391826629639,0.029233215376734734,0.9297876358032227,0.29653096199035645
26,0.9915711879730225,0.023284409195184708,0.9321914911270142,0.3272326588630676
27,0.9912046790122986,0.025248542428016663,0.9123597741127014,0.36706385016441345
28,0.9918376803398132,0.022977037355303764,0.9310897588729858,0.296068400144577
29,0.9916045069694519,0.024195538833737373,0.9336938858032227,0.3019684851169586
30,0.9916045069694519,0.022676264867186546,0.9298878312110901,0.3306930363178253
31,0.992404043674469,0.021342696622014046,0.9348958134651184,0.26778459548950195
32,0.9930370450019836,0.018370626494288445,0.9350961446762085,0.31049612164497375
