epoch,accuracy,aux_loss,ce_loss,cls_loss,gamma_embed_weight,kd_embed,kd_logits,loss,val_accuracy,val_aux_loss,val_ce_loss,val_cls_loss,val_gamma_embed_weight,val_kd_embed,val_kd_logits,val_loss
1,0.7998400926589966,0.0,0.0,7.211821503005922e-05,0.02000025473535061,0.003605911508202553,0.0,7.211821503005922e-05,0.743088960647583,0.0,0.0,5.178552964935079e-05,0.01999998465180397,0.0025892765261232853,0.0,5.178552964935079e-05
2,0.8488139510154724,0.0,0.0,0.00011322624050080776,0.04000050947070122,0.002830656711012125,0.0,0.00011322624050080776,0.7519030570983887,0.0,0.0,9.844887244980782e-05,0.03999996930360794,0.002461222931742668,0.0,9.844887244980782e-05
3,0.8576092720031738,0.0,0.0,0.00015902686573099345,0.06000049039721489,0.0026504448615014553,0.0,0.00015902686573099345,0.7869591116905212,0.0,0.0,0.00012022566079394892,0.06000007688999176,0.0020037612412124872,0.0,0.00012022566079394892
4,0.8659381866455078,0.0,0.0,0.00020425119146239012,0.08000101894140244,0.0025531405117362738,0.0,0.00020425119146239012,0.7868589758872986,0.0,0.0,0.0001612892228877172,0.07999993860721588,0.002016115467995405,0.0,0.0001612892228877172
5,0.8707022666931152,0.0,0.0,0.00024618383031338453,0.0999990850687027,0.002461838535964489,0.0,0.00024618383031338453,0.8169070482254028,0.0,0.0,0.00017499686509836465,0.10000026226043701,0.0017499688547104597,0.0,0.00017499686509836465
6,0.8780650496482849,0.0,0.0,0.00028886005748063326,0.12000098079442978,0.0024071657098829746,0.0,0.00028886005748063326,0.7874599099159241,0.0,0.0,0.00023520912509411573,0.12000015377998352,0.0019600759260356426,0.0,0.00023520912509411573
7,0.8816630840301514,0.0,0.0,0.0003289092273917049,0.13999949395656586,0.0023493540938943624,0.0,0.0003289092273917049,0.7371794581413269,0.0,0.0,0.0003459037106949836,0.13999967277050018,0.0024707415141165257,0.0,0.0003459037106949836
8,0.8849280476570129,0.0,0.0,0.00037271465407684445,0.16000203788280487,0.0023294666316360235,0.0,0.00037271465407684445,0.8110977411270142,0.0,0.0,0.0002839488151948899,0.15999987721443176,0.001774679752998054,0.0,0.0002839488151948899
9,0.887926459312439,0.0,0.0,0.00041065653203986585,0.17999842762947083,0.0022814262192696333,0.0,0.00041065653203986585,0.7845553159713745,0.0,0.0,0.00037195574259385467,0.18000024557113647,0.0020664220210164785,0.0,0.00037195574259385467
10,0.889025866985321,0.0,0.0,0.0004519872891250998,0.1999981701374054,0.002259935485199094,0.0,0.0004519872891250998,0.8152043223381042,0.0,0.0,0.000351463386323303,0.20000052452087402,0.001757316873408854,0.0,0.000351463386323303
11,0.8925573229789734,0.0,0.0,0.0004880430642515421,0.2200009822845459,0.0022183768451213837,0.0,0.0004880430642515421,0.8014823794364929,0.0,0.0,0.0004175904323346913,0.2200005054473877,0.0018981382017955184,0.0,0.0004175904323346913
12,0.8925573229789734,0.0,0.0,0.0005316419992595911,0.24000196158885956,0.0022151737939566374,0.0,0.0005316419992595911,0.7838541865348816,0.0,0.0,0.0004932784358970821,0.24000030755996704,0.0020553278736770153,0.0,0.0004932784358970821
13,0.8948894143104553,0.0,0.0,0.0005696828593499959,0.25999775528907776,0.002191087929531932,0.0,0.0005696828593499959,0.8154046535491943,0.0,0.0,0.00046540633775293827,0.2599998712539673,0.0017900245729833841,0.0,0.00046540633775293827
14,0.891791045665741,0.0,0.0,0.0006120193284004927,0.2799989879131317,0.0021857847459614277,0.0,0.0006120193284004927,0.807692289352417,0.0,0.0,0.0005254243733361363,0.27999934554100037,0.0018765163840726018,0.0,0.0005254243733361363
15,0.8973880410194397,0.0,0.0,0.0006484893383458257,0.3000008761882782,0.0021616299636662006,0.0,0.0006484893383458257,0.792067289352417,0.0,0.0,0.0005820126389153302,0.3000006079673767,0.0019400430610403419,0.0,0.0005820126389153302
