feature,emergency_mean,normal_mean,delta_em_minus_normal,direction,cohen_d,effect_magnitude,stat_summary,risk_note
alpha_ratio,0.2452,0.0907,0.1545,emergency_higher,0.4444,small,delta=0.1545; cohen_d=0.4444 (small),Acted speech + clean recording; potential domain shift to real emergency audio.
spectral_centroid_hz,612.0382,484.4983,127.5399,emergency_higher,0.4874,small,delta=127.5399; cohen_d=0.4874 (small),Acted speech + clean recording; potential domain shift to real emergency audio.
spectral_bandwidth_hz,607.1720,535.9418,71.2302,emergency_higher,0.4365,small,delta=71.2302; cohen_d=0.4365 (small),Acted speech + clean recording; potential domain shift to real emergency audio.
energy_low_prop,0.4491,0.5613,-0.1122,emergency_lower,-0.5023,medium,delta=-0.1122; cohen_d=-0.5023 (medium),Acted speech + clean recording; potential domain shift to real emergency audio.
energy_mid_prop,0.4977,0.4085,0.0892,emergency_higher,0.4178,small,delta=0.0892; cohen_d=0.4178 (small),Acted speech + clean recording; potential domain shift to real emergency audio.
energy_high_prop,0.0531,0.0301,0.0230,emergency_higher,0.3928,small,delta=0.0230; cohen_d=0.3928 (small),Acted speech + clean recording; potential domain shift to real emergency audio.
